type,start_date,end_date,duration_blocks,basin
Wet,1998-01-01,1998-05-01,5,Danube
Dry,1998-06-01,1998-11-01,6,Danube
Wet,1998-12-01,1998-12-01,1,Danube
Dry,1999-01-01,1999-02-01,2,Danube
Wet,1999-03-01,1999-03-01,1,Danube
Dry,1999-04-01,1999-05-01,2,Danube
Wet,1999-06-01,1999-09-01,4,Danube
Dry,1999-10-01,2000-01-01,4,Danube
Wet,2000-02-01,2000-02-01,1,Danube
Dry,2000-03-01,2000-05-01,3,Danube
Wet,2000-06-01,2000-06-01,1,Danube
Dry,2000-07-01,2000-07-01,1,Danube
Wet,2000-08-01,2000-08-01,1,Danube
Dry,2000-09-01,2000-10-01,2,Danube
Wet,2000-11-01,2001-03-01,5,Danube
Dry,2001-04-01,2001-04-01,1,Danube
Wet,2001-05-01,2001-07-01,3,Danube
Dry,2001-08-01,2001-11-01,4,Danube
Wet,2001-12-01,2001-12-01,1,Danube
Dry,2002-01-01,2002-02-01,2,Danube
Wet,2002-03-01,2002-05-01,3,Danube
Dry,2002-06-01,2002-06-01,1,Danube
Wet,2002-07-01,2002-08-01,2,Danube
Dry,2002-09-01,2002-09-01,1,Danube
Wet,2002-10-01,2002-12-01,3,Danube
Dry,2003-01-01,2003-01-01,1,Danube
Wet,2003-02-01,2003-02-01,1,Danube
Dry,2003-03-01,2003-03-01,1,Danube
Wet,2003-04-01,2003-05-01,2,Danube
Dry,2003-06-01,2003-08-01,3,Danube
Wet,2003-09-01,2003-09-01,1,Danube
Dry,2003-10-01,2003-10-01,1,Danube
Wet,2003-11-01,2003-12-01,2,Danube
Dry,2004-01-01,2004-01-01,1,Danube
Wet,2004-02-01,2004-02-01,1,Danube
Dry,2004-03-01,2004-03-01,1,Danube
Wet,2004-04-01,2004-04-01,1,Danube
Dry,2004-05-01,2004-08-01,4,Danube
Wet,2004-09-01,2004-12-01,4,Danube
Dry,2005-01-01,2005-01-01,1,Danube
Wet,2005-02-01,2005-02-01,1,Danube
Dry,2005-03-01,2005-06-01,4,Danube
Wet,2005-07-01,2005-08-01,2,Danube
Dry,2005-09-01,2005-09-01,1,Danube
Wet,2005-10-01,2005-12-01,3,Danube
Dry,2006-01-01,2006-01-01,1,Danube
Wet,2006-02-01,2006-02-01,1,Danube
Dry,2006-03-01,2006-04-01,2,Danube
Wet,2006-05-01,2006-06-01,2,Danube
Dry,2006-07-01,2006-07-01,1,Danube
Wet,2006-08-01,2006-09-01,2,Danube
Dry,2006-10-01,2007-01-01,4,Danube
Wet,2007-02-01,2007-02-01,1,Danube
Dry,2007-03-01,2007-03-01,1,Danube
Wet,2007-04-01,2007-04-01,1,Danube
Dry,2007-05-01,2007-06-01,2,Danube
Wet,2007-07-01,2007-07-01,1,Danube
Dry,2007-08-01,2007-10-01,3,Danube
Wet,2007-11-01,2007-12-01,2,Danube
Dry,2008-01-01,2008-01-01,1,Danube
Wet,2008-02-01,2008-02-01,1,Danube
Dry,2008-03-01,2008-03-01,1,Danube
Wet,2008-04-01,2008-05-01,2,Danube
Dry,2008-06-01,2008-06-01,1,Danube
Wet,2008-07-01,2008-07-01,1,Danube
Dry,2008-08-01,2008-08-01,1,Danube
Wet,2008-09-01,2008-09-01,1,Danube
Dry,2008-10-01,2009-02-01,5,Danube
Wet,2009-03-01,2009-06-01,4,Danube
Dry,2009-07-01,2009-07-01,1,Danube
Wet,2009-08-01,2009-11-01,4,Danube
Dry,2009-12-01,2009-12-01,1,Danube
Wet,2010-01-01,2010-02-01,2,Danube
Dry,2010-03-01,2010-03-01,1,Danube
Wet,2010-04-01,2010-05-01,2,Danube
Dry,2010-06-01,2010-06-01,1,Danube
Wet,2010-07-01,2010-07-01,1,Danube
Dry,2010-08-01,2010-09-01,2,Danube
Wet,2010-10-01,2010-10-01,1,Danube
Dry,2010-11-01,2011-02-01,4,Danube
Wet,2011-03-01,2011-04-01,2,Danube
Dry,2011-05-01,2011-07-01,3,Danube
Wet,2011-08-01,2011-09-01,2,Danube
Dry,2011-10-01,2012-01-01,4,Danube
Wet,2012-02-01,2012-02-01,1,Danube
Dry,2012-03-01,2012-03-01,1,Danube
Wet,2012-04-01,2012-05-01,2,Danube
Dry,2012-06-01,2012-06-01,1,Danube
Wet,2012-07-01,2012-07-01,1,Danube
Dry,2012-08-01,2012-08-01,1,Danube
Wet,2012-09-01,2012-09-01,1,Danube
Dry,2012-10-01,2012-10-01,1,Danube
Wet,2012-11-01,2012-12-01,2,Danube
Dry,2013-01-01,2013-01-01,1,Danube
Wet,2013-02-01,2013-04-01,3,Danube
Dry,2013-05-01,2013-07-01,3,Danube
Wet,2013-08-01,2013-08-01,1,Danube
Dry,2013-09-01,2013-11-01,3,Danube
Wet,2013-12-01,2014-03-01,4,Danube
Dry,2014-04-01,2014-04-01,1,Danube
Wet,2014-05-01,2014-05-01,1,Danube
Dry,2014-06-01,2014-12-01,7,Danube
Wet,2015-01-01,2015-01-01,1,Danube
Dry,2015-02-01,2015-05-01,4,Danube
Wet,2015-06-01,2015-06-01,1,Danube
Dry,2015-07-01,2015-08-01,2,Danube
Wet,2015-09-01,2015-12-01,4,Danube
Dry,2016-01-01,2016-02-01,2,Danube
Wet,2016-03-01,2016-06-01,4,Danube
Dry,2016-07-01,2016-07-01,1,Danube
Wet,2016-08-01,2016-10-01,3,Danube
Dry,2016-11-01,2016-11-01,1,Danube
Wet,2016-12-01,2017-01-01,2,Danube
Dry,2017-02-01,2017-02-01,1,Danube
Wet,2017-03-01,2017-03-01,1,Danube
Dry,2017-04-01,2017-05-01,2,Danube
Wet,2017-06-01,2017-06-01,1,Danube
Dry,2017-07-01,2017-08-01,2,Danube
Wet,2017-09-01,2017-09-01,1,Danube
Dry,2017-10-01,2017-10-01,1,Danube
Wet,2017-11-01,2017-11-01,1,Danube
Dry,2017-12-01,2018-03-01,4,Danube
Wet,2018-04-01,2018-04-01,1,Danube
Dry,2018-05-01,2018-05-01,1,Danube
Wet,2018-06-01,2018-06-01,1,Danube
Dry,2018-07-01,2018-08-01,2,Danube
Wet,2018-09-01,2018-10-01,2,Danube
Dry,2018-11-01,2018-11-01,1,Danube
Wet,2018-12-01,2019-01-01,2,Danube
